# Instance: eil51.tsp
# Method: hill-climbing
# Neighborhood: 2-opt
# output: step cost
0 1803
0.000000 1711
0.001000 1625
0.001000 1534
0.001000 1455
0.002000 1381
0.002000 1314
0.002000 1237
0.003000 1172
0.003000 1114
0.003000 1056
0.003000 1006
0.004000 959
0.004000 914
0.004000 870
0.004000 824
0.004000 784
0.005000 750
0.005000 715
0.005000 673
0.005000 656
0.005000 639
0.006000 616
0.006000 587
0.006000 571
0.006000 558
0.006000 547
0.007000 534
0.007000 524
0.007000 513
0.007000 504
0.007000 492
0.008000 485
0.008000 472
0.008000 468
0.008000 464
0.008000 456
0.009000 452
0.009000 451
0.009000 440
# Final Best Cost: 440
