# Instance: eil76.tsp
# Method: simulated-annealing
# output: step cost
0 2566
0.000000 2386
0.000000 2386
0.000000 2386
0.000000 2271
0.000000 2271
0.000000 2153
0.000000 2153
0.000000 2153
0.000000 2153
0.000000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2096
0.003000 2096
0.003000 2096
0.003000 2096
0.003000 2096
0.003000 2096
0.003000 2096
0.003000 2096
0.003000 2096
0.003000 2096
0.003000 2096
0.003000 2096
0.003000 2096
0.003000 2096
0.003000 2080
0.003000 2080
0.003000 2080
0.003000 2080
0.003000 2080
0.003000 2080
0.003000 2080
0.003000 2080
0.003000 2080
0.003000 2080
0.003000 2080
0.003000 2080
0.003000 2080
0.003000 2080
0.003000 2080
0.003000 2080
0.003000 2080
0.003000 2080
0.003000 2080
0.003000 2080
0.003000 2080
0.003000 2080
0.003000 2080
0.003000 2080
0.003000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2059
0.004000 2059
0.004000 2059
0.004000 2059
0.004000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 1997
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1982
0.006000 1982
0.006000 1982
0.006000 1982
0.006000 1982
0.006000 1982
0.006000 1982
0.006000 1982
0.006000 1982
0.006000 1982
0.006000 1907
0.006000 1907
0.006000 1907
0.006000 1907
0.006000 1907
0.006000 1907
0.006000 1907
0.006000 1907
0.006000 1907
0.006000 1907
0.006000 1907
0.006000 1907
0.006000 1907
0.006000 1907
0.006000 1873
0.006000 1873
0.006000 1873
0.006000 1873
0.006000 1873
0.006000 1873
0.006000 1873
0.006000 1873
0.006000 1873
0.006000 1873
0.006000 1873
0.006000 1873
0.006000 1873
0.006000 1873
0.006000 1873
0.006000 1873
0.006000 1873
0.006000 1873
0.006000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1806
0.007000 1806
0.007000 1806
0.007000 1806
0.007000 1753
0.007000 1717
0.007000 1717
0.007000 1717
0.007000 1717
0.008000 1717
0.008000 1717
0.008000 1717
0.008000 1717
0.008000 1717
0.008000 1613
0.008000 1608
0.008000 1608
0.008000 1608
0.008000 1608
0.008000 1608
0.008000 1608
0.008000 1608
0.008000 1608
0.008000 1608
0.008000 1608
0.008000 1608
0.008000 1608
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1496
0.009000 1496
0.009000 1496
0.009000 1496
0.009000 1496
0.009000 1496
0.009000 1482
0.009000 1482
0.009000 1452
0.009000 1416
0.009000 1416
0.009000 1416
0.009000 1416
0.009000 1416
0.009000 1416
0.009000 1416
0.009000 1416
0.009000 1416
0.009000 1416
0.009000 1416
0.009000 1416
0.009000 1416
0.009000 1416
0.009000 1416
0.009000 1416
0.009000 1416
0.009000 1416
0.009000 1416
0.009000 1416
0.009000 1416
0.009000 1416
0.010000 1416
0.010000 1416
0.010000 1416
0.010000 1416
0.010000 1416
0.010000 1416
0.010000 1355
0.010000 1343
0.010000 1314
0.010000 1314
0.010000 1310
0.010000 1249
0.010000 1223
0.010000 1223
0.010000 1223
0.010000 1223
0.010000 1223
0.010000 1223
0.010000 1223
0.010000 1223
0.010000 1223
0.010000 1223
0.010000 1223
0.010000 1223
0.010000 1223
0.010000 1223
0.010000 1223
0.010000 1223
0.010000 1223
0.010000 1207
0.010000 1198
0.010000 1157
0.010000 1138
0.010000 1137
0.011000 1110
0.011000 1106
0.011000 1102
0.011000 1102
0.011000 1102
0.011000 1102
0.011000 1102
0.011000 1102
0.011000 1102
0.011000 1102
0.011000 1102
0.011000 1102
0.011000 1102
0.011000 1102
0.011000 1102
0.011000 1074
0.011000 1034
0.011000 994
0.011000 976
0.011000 976
0.011000 927
0.011000 916
0.011000 916
0.011000 916
0.011000 916
0.011000 916
0.011000 916
0.011000 916
0.011000 916
0.011000 916
0.011000 903
0.011000 875
0.011000 875
0.011000 875
0.011000 875
0.011000 875
0.011000 875
0.011000 875
0.011000 875
0.011000 875
0.011000 875
0.011000 875
0.011000 875
0.011000 875
0.011000 875
0.011000 875
0.011000 875
0.012000 875
0.012000 875
0.012000 875
0.012000 875
0.012000 875
0.012000 875
0.012000 873
0.012000 847
0.012000 846
0.012000 846
0.012000 841
0.012000 838
0.012000 838
0.012000 825
0.012000 825
0.012000 825
0.012000 825
0.012000 825
0.012000 825
0.012000 825
0.012000 825
0.012000 825
0.012000 825
0.012000 825
0.012000 825
0.012000 801
0.012000 791
0.012000 790
0.012000 790
0.012000 790
0.012000 790
0.012000 790
0.012000 790
0.012000 790
0.012000 790
0.012000 790
0.012000 790
0.012000 790
0.012000 790
0.012000 790
0.012000 790
0.012000 790
0.012000 780
0.012000 763
0.012000 754
0.013000 752
0.013000 752
0.013000 733
0.013000 732
0.013000 732
0.013000 732
0.013000 732
0.013000 732
0.013000 732
0.013000 732
0.013000 732
0.013000 732
0.013000 729
0.013000 722
0.013000 716
0.013000 716
0.013000 716
0.013000 716
0.013000 700
0.013000 699
0.013000 699
0.013000 699
0.013000 699
0.013000 694
0.013000 694
0.013000 694
0.013000 694
0.013000 694
0.013000 692
0.013000 683
0.013000 677
0.014000 677
0.014000 677
0.014000 677
0.014000 672
0.014000 672
0.014000 672
0.014000 672
0.014000 672
0.014000 671
0.014000 671
0.014000 671
0.014000 671
0.014000 671
0.014000 671
0.014000 671
0.014000 671
0.014000 671
0.014000 667
0.014000 665
0.014000 665
0.014000 658
0.014000 644
0.014000 644
0.014000 644
0.014000 644
0.014000 644
0.014000 644
0.014000 644
0.014000 644
0.014000 644
0.014000 644
0.014000 644
0.014000 644
0.014000 644
0.014000 644
0.014000 644
0.014000 644
0.014000 644
0.014000 644
0.014000 644
0.014000 644
0.014000 644
0.015000 644
0.015000 643
0.015000 639
0.015000 639
0.015000 639
0.015000 639
0.015000 636
0.015000 636
0.015000 636
0.015000 636
0.015000 636
0.015000 636
0.015000 636
0.015000 636
0.015000 636
0.015000 636
0.015000 636
0.015000 636
0.015000 636
0.015000 636
0.015000 636
0.015000 636
0.015000 636
0.015000 636
0.015000 634
0.015000 634
0.015000 634
0.015000 634
0.015000 632
0.015000 631
0.015000 631
0.015000 631
0.015000 628
0.015000 625
0.015000 625
0.015000 624
0.015000 621
0.015000 614
0.015000 614
0.015000 614
0.015000 614
0.015000 614
0.015000 614
0.015000 614
0.015000 614
0.015000 614
0.015000 614
0.015000 614
0.015000 614
0.015000 614
0.015000 614
0.015000 614
0.015000 612
0.015000 612
0.015000 612
0.015000 612
0.015000 612
0.015000 612
0.015000 612
0.015000 602
