# Instance: eil76.tsp
# Method: hill-climbing
# Neighborhood: swap
# output: step cost
0 2488
0.000000 2298
0.001000 2167
0.001000 2047
0.002000 1947
0.002000 1866
0.003000 1788
0.003000 1720
0.004000 1658
0.004000 1597
0.005000 1539
0.005000 1484
0.006000 1445
0.006000 1414
0.007000 1384
0.007000 1356
0.008000 1328
0.008000 1295
0.009000 1269
0.009000 1240
0.010000 1217
0.010000 1195
0.011000 1169
0.011000 1151
0.012000 1134
0.012000 1117
0.013000 1105
0.013000 1093
0.014000 1082
0.014000 1071
0.015000 1037
0.015000 1029
0.016000 1021
0.016000 1012
0.017000 1002
0.017000 990
0.018000 983
0.018000 973
0.019000 962
0.019000 955
0.020000 949
0.020000 940
0.021000 932
0.021000 925
0.022000 919
0.022000 913
0.023000 906
0.023000 900
0.023000 895
0.024000 891
0.024000 887
0.025000 884
0.025000 878
0.026000 875
0.026000 872
0.027000 869
0.027000 864
0.028000 861
0.028000 848
0.029000 844
0.029000 842
0.030000 841
0.030000 837
# Final Best Cost: 837
