# Instance: eil76.tsp
# Method: simulated-annealing
# output: step cost
0 2566
0.000000 2386
0.000000 2386
0.000000 2386
0.000000 2271
0.000000 2271
0.000000 2153
0.000000 2153
0.000000 2153
0.000000 2153
0.000000 2153
0.000000 2153
0.000000 2153
0.000000 2153
0.000000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.001000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2153
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.002000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2138
0.003000 2096
0.003000 2096
0.003000 2096
0.004000 2096
0.004000 2096
0.004000 2096
0.004000 2096
0.004000 2096
0.004000 2096
0.004000 2096
0.004000 2096
0.004000 2096
0.004000 2096
0.004000 2096
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.004000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2080
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 2059
0.005000 1997
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.005000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1996
0.006000 1982
0.006000 1982
0.006000 1982
0.006000 1982
0.006000 1982
0.006000 1982
0.006000 1982
0.006000 1982
0.006000 1982
0.006000 1982
0.006000 1907
0.006000 1907
0.006000 1907
0.006000 1907
0.006000 1907
0.006000 1907
0.006000 1907
0.006000 1907
0.006000 1907
0.006000 1907
0.006000 1907
0.006000 1907
0.006000 1907
0.006000 1907
0.006000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1873
0.007000 1806
0.007000 1806
0.007000 1806
0.007000 1806
0.007000 1753
0.007000 1717
0.007000 1717
0.007000 1717
0.007000 1717
0.007000 1717
0.007000 1717
0.007000 1717
0.007000 1717
0.007000 1717
0.007000 1613
0.007000 1608
0.007000 1608
0.007000 1608
0.007000 1608
0.007000 1608
0.007000 1608
0.008000 1608
0.008000 1608
0.008000 1608
0.008000 1608
0.008000 1608
0.008000 1608
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1496
0.008000 1482
0.008000 1482
0.008000 1452
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1416
0.008000 1355
0.008000 1343
0.008000 1314
0.008000 1314
0.008000 1310
0.009000 1249
0.009000 1223
0.009000 1223
0.009000 1223
0.009000 1223
0.009000 1223
0.009000 1223
0.009000 1223
0.009000 1223
0.009000 1223
0.009000 1223
0.009000 1223
0.009000 1223
0.009000 1223
0.009000 1223
0.009000 1223
0.009000 1223
0.009000 1223
0.009000 1207
0.009000 1198
0.009000 1157
0.009000 1138
0.009000 1137
0.009000 1110
0.009000 1106
0.009000 1102
0.009000 1102
0.009000 1102
0.009000 1102
0.009000 1102
0.009000 1102
0.009000 1102
0.009000 1102
0.009000 1102
0.009000 1102
0.009000 1102
0.009000 1102
0.009000 1102
0.009000 1074
0.009000 1034
0.009000 994
0.009000 976
0.009000 976
0.009000 927
0.009000 916
0.009000 916
0.009000 916
0.009000 916
0.009000 916
0.009000 916
0.009000 916
0.009000 916
0.009000 916
0.009000 903
0.009000 875
0.009000 875
0.009000 875
0.009000 875
0.009000 875
0.009000 875
0.009000 875
0.010000 875
0.010000 875
0.010000 875
0.010000 875
0.010000 875
0.010000 875
0.010000 875
0.010000 875
0.010000 875
0.010000 875
0.010000 875
0.010000 875
0.010000 875
0.010000 875
0.010000 875
0.010000 873
0.010000 847
0.010000 846
0.010000 846
0.010000 841
0.010000 838
0.010000 838
0.010000 825
0.010000 825
0.010000 825
0.010000 825
0.010000 825
0.010000 825
0.010000 825
0.010000 825
0.010000 825
0.010000 825
0.010000 825
0.010000 825
0.010000 801
0.010000 791
0.010000 790
0.010000 790
0.010000 790
0.010000 790
0.010000 790
0.010000 790
0.010000 790
0.010000 790
0.010000 790
0.010000 790
0.010000 790
0.010000 790
0.010000 790
0.010000 790
0.010000 790
0.010000 780
0.010000 763
0.010000 754
0.010000 752
0.010000 752
0.010000 733
0.010000 732
0.010000 732
0.010000 732
0.011000 732
0.011000 732
0.011000 732
0.011000 732
0.011000 732
0.011000 732
0.011000 729
0.011000 722
0.011000 716
0.011000 716
0.011000 716
0.011000 716
0.011000 700
0.011000 699
0.011000 699
0.011000 699
0.011000 699
0.011000 694
0.011000 694
0.011000 694
0.011000 694
0.011000 694
0.011000 692
0.011000 683
0.011000 677
0.011000 677
0.011000 677
0.011000 677
0.011000 672
0.011000 672
0.011000 672
0.011000 672
0.011000 672
0.011000 671
0.011000 671
0.011000 671
0.011000 671
0.011000 671
0.011000 671
0.011000 671
0.011000 671
0.011000 671
0.011000 667
0.011000 665
0.011000 665
0.011000 658
0.011000 644
0.011000 644
0.011000 644
0.011000 644
0.011000 644
0.011000 644
0.011000 644
0.012000 644
0.012000 644
0.012000 644
0.012000 644
0.012000 644
0.012000 644
0.012000 644
0.012000 644
0.012000 644
0.012000 644
0.012000 644
0.012000 644
0.012000 644
0.012000 644
0.012000 644
0.012000 643
0.012000 639
0.012000 639
0.012000 639
0.012000 639
0.012000 636
0.012000 636
0.012000 636
0.012000 636
0.012000 636
0.012000 636
0.012000 636
0.012000 636
0.012000 636
0.012000 636
0.012000 636
0.012000 636
0.012000 636
0.012000 636
0.012000 636
0.012000 636
0.012000 636
0.012000 636
0.012000 634
0.012000 634
0.012000 634
0.012000 634
0.012000 632
0.012000 631
0.012000 631
0.012000 631
0.012000 628
0.012000 625
0.012000 625
0.012000 624
0.012000 621
0.012000 614
0.012000 614
0.012000 614
0.012000 614
0.012000 614
0.012000 614
0.012000 614
0.012000 614
0.012000 614
0.012000 614
0.012000 614
0.012000 614
0.012000 614
0.012000 614
0.012000 614
0.012000 612
0.012000 612
0.012000 612
0.012000 612
0.012000 612
0.012000 612
0.012000 612
0.012000 602
