# Instance: eil76.tsp
# Method: hill-climbing
# Neighborhood: 2-opt
# output: step cost
0 2488
0.000000 2374
0.001000 2275
0.002000 2179
0.002000 2088
0.003000 1999
0.003000 1922
0.004000 1851
0.005000 1782
0.005000 1704
0.006000 1638
0.007000 1578
0.007000 1513
0.008000 1460
0.008000 1411
0.009000 1364
0.010000 1317
0.010000 1272
0.011000 1228
0.012000 1187
0.012000 1147
0.013000 1108
0.014000 1071
0.014000 1040
0.015000 1009
0.015000 984
0.016000 960
0.017000 937
0.017000 913
0.018000 897
0.018000 875
0.019000 859
0.020000 844
0.021000 829
0.021000 814
0.022000 794
0.023000 779
0.023000 761
0.024000 745
0.024000 734
0.025000 723
0.026000 712
0.026000 703
0.027000 688
0.028000 679
0.028000 670
0.029000 662
0.029000 655
0.030000 649
0.031000 643
0.031000 638
0.032000 633
0.033000 628
0.033000 623
0.034000 619
0.034000 615
0.035000 610
0.036000 607
0.036000 604
0.037000 601
0.038000 584
0.038000 582
0.039000 581
0.040000 580
0.040000 579
0.041000 578
# Final Best Cost: 578
