# Instance: eil76.tsp
# Method: hill-climbing
# Neighborhood: 2-opt
# output: step cost
0 2374
0.000000 2283
0.001000 2195
0.002000 2110
0.002000 2030
0.003000 1953
0.003000 1885
0.004000 1814
0.005000 1741
0.005000 1675
0.006000 1611
0.007000 1544
0.007000 1487
0.008000 1435
0.008000 1386
0.009000 1341
0.009000 1301
0.010000 1256
0.011000 1219
0.011000 1180
0.012000 1143
0.012000 1108
0.013000 1076
0.014000 1046
0.014000 1017
0.015000 989
0.016000 965
0.016000 939
0.017000 915
0.018000 887
0.018000 866
0.019000 845
0.019000 826
0.020000 809
0.021000 793
0.021000 776
0.022000 764
0.022000 751
0.023000 739
0.024000 723
0.024000 712
0.025000 703
0.025000 695
0.026000 687
0.027000 680
0.027000 673
0.028000 666
0.028000 660
0.029000 654
0.030000 648
0.030000 643
0.031000 638
0.032000 633
0.032000 628
0.033000 624
0.033000 620
0.034000 601
0.035000 598
0.035000 595
0.036000 592
0.037000 587
0.037000 585
0.038000 584
0.038000 583
0.039000 582
# Final Best Cost: 582
