# Instance: eil76.tsp
# Method: hill-climbing
# Neighborhood: 2-opt
# output: step cost
0 2503
0.000000 2402
0.001000 2308
0.002000 2221
0.002000 2142
0.003000 2060
0.003000 1982
0.004000 1910
0.005000 1840
0.005000 1762
0.006000 1699
0.007000 1636
0.007000 1571
0.008000 1509
0.008000 1456
0.009000 1406
0.010000 1360
0.010000 1315
0.011000 1271
0.011000 1229
0.012000 1187
0.013000 1152
0.013000 1112
0.014000 1081
0.014000 1055
0.015000 1033
0.016000 1009
0.016000 989
0.017000 970
0.017000 951
0.018000 932
0.019000 916
0.019000 899
0.020000 883
0.021000 868
0.021000 854
0.022000 840
0.022000 826
0.023000 812
0.024000 799
0.024000 787
0.025000 776
0.025000 764
0.026000 754
0.027000 744
0.027000 734
0.028000 721
0.029000 707
0.029000 698
0.030000 689
0.030000 681
0.031000 672
0.032000 663
0.032000 655
0.033000 648
0.033000 642
0.034000 636
0.034000 630
0.035000 625
0.036000 620
0.036000 615
0.037000 601
0.037000 596
0.038000 593
0.039000 591
0.039000 590
0.040000 588
0.040000 584
# Final Best Cost: 584
