# Instance: eil76.tsp
# Method: simulated-annealing
# output: step cost
0 2503
0.000000 2357
0.000000 2198
0.000000 2198
0.000000 2198
0.000000 2198
0.000000 2198
0.000000 2198
0.000000 2198
0.000000 2198
0.000000 2198
0.000000 2198
0.000000 2198
0.000000 2198
0.000000 2198
0.000000 2198
0.000000 2198
0.000000 2198
0.000000 2198
0.000000 2198
0.000000 2198
0.000000 2198
0.000000 2198
0.000000 2198
0.000000 2198
0.000000 2145
0.000000 2145
0.000000 2145
0.000000 2145
0.000000 2145
0.000000 2145
0.000000 2145
0.000000 2145
0.000000 2145
0.000000 2145
0.000000 2145
0.000000 2145
0.000000 2072
0.000000 2072
0.000000 2072
0.000000 2072
0.000000 2072
0.000000 2072
0.000000 2072
0.000000 2072
0.000000 2072
0.000000 2072
0.000000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.001000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2072
0.002000 2030
0.002000 2030
0.002000 2030
0.002000 2030
0.002000 2030
0.002000 2030
0.002000 2030
0.002000 2030
0.002000 2030
0.002000 2030
0.002000 2030
0.002000 2030
0.002000 2030
0.002000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
0.003000 2030
