# Instance: eil101.tsp
# Method: hill-climbing
# Neighborhood: 2-opt
# output: step cost
0 3413
0.001000 3304
0.003000 3202
0.004000 3107
0.006000 3015
0.007000 2912
0.009000 2817
0.011000 2726
0.012000 2639
0.014000 2554
0.015000 2471
0.017000 2391
0.018000 2320
0.020000 2249
0.021000 2179
0.023000 2111
0.025000 2044
0.026000 1978
0.028000 1914
0.029000 1851
0.031000 1787
0.032000 1724
0.034000 1670
0.035000 1617
0.037000 1567
0.039000 1519
0.040000 1465
0.042000 1417
0.044000 1378
0.046000 1340
0.047000 1307
0.049000 1274
0.051000 1246
0.052000 1219
0.054000 1193
0.056000 1168
0.058000 1145
0.060000 1124
0.062000 1104
0.063000 1079
0.065000 1058
0.066000 1038
0.067000 1019
0.069000 999
0.070000 981
0.072000 960
0.073000 945
0.075000 931
0.076000 918
0.078000 906
0.079000 895
0.080000 884
0.082000 864
0.083000 854
0.085000 845
0.086000 837
0.087000 828
0.089000 820
0.090000 812
0.092000 805
0.093000 793
0.095000 787
0.096000 781
0.098000 775
0.099000 763
0.100000 757
0.102000 751
0.103000 746
0.105000 740
0.106000 735
0.108000 731
0.109000 728
0.111000 725
0.112000 723
0.113000 717
0.115000 715
0.116000 713
0.118000 711
0.119000 710
# Final Best Cost: 710
