# Instance: eil101.tsp
# Method: hill-climbing
# Neighborhood: 2-opt
# output: step cost
0 3572
0.001000 3460
0.003000 3354
0.004000 3253
0.006000 3163
0.007000 3070
0.009000 2982
0.010000 2896
0.012000 2810
0.013000 2726
0.014000 2648
0.016000 2576
0.017000 2499
0.019000 2427
0.020000 2356
0.022000 2286
0.023000 2220
0.025000 2155
0.026000 2094
0.028000 2035
0.029000 1979
0.030000 1924
0.032000 1869
0.033000 1814
0.035000 1760
0.036000 1710
0.037000 1659
0.039000 1613
0.040000 1569
0.042000 1525
0.044000 1481
0.046000 1447
0.047000 1413
0.049000 1380
0.050000 1347
0.052000 1315
0.053000 1286
0.055000 1258
0.056000 1231
0.058000 1205
0.059000 1180
0.061000 1153
0.062000 1128
0.064000 1106
0.065000 1085
0.067000 1064
0.068000 1044
0.070000 1024
0.071000 1005
0.073000 986
0.074000 969
0.076000 954
0.077000 940
0.079000 926
0.080000 913
0.081000 901
0.083000 889
0.084000 877
0.086000 867
0.087000 857
0.089000 848
0.090000 840
0.092000 833
0.093000 826
0.095000 815
0.096000 808
0.098000 801
0.099000 792
0.101000 782
0.102000 775
0.104000 769
0.105000 764
0.107000 759
0.109000 754
0.110000 749
0.112000 744
0.113000 739
0.114000 735
0.116000 732
0.117000 729
0.119000 726
0.120000 721
0.122000 718
0.123000 715
0.125000 712
0.126000 710
0.127000 707
0.129000 699
0.130000 695
0.132000 691
0.133000 682
0.135000 679
0.136000 677
0.138000 675
0.139000 673
0.141000 671
0.142000 669
0.144000 668
# Final Best Cost: 668
