# Instance: eil101.tsp
# Method: simulated-annealing
# output: step cost
0 3311
0.000000 3213
0.000000 3083
0.000000 3083
0.000000 3083
0.000000 3083
0.000000 3083
0.000000 3083
0.000000 3083
0.000000 3083
0.000000 3083
0.000000 3083
0.000000 3083
0.000000 3083
0.000000 3083
0.000000 3083
0.000000 3083
0.000000 3083
0.000000 3083
0.000000 3083
0.000000 3083
0.000000 3083
0.000000 3083
0.001000 3083
0.001000 3083
0.001000 3083
0.001000 3083
0.001000 3083
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.001000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.002000 2982
0.003000 2982
0.003000 2982
0.003000 2982
0.003000 2982
0.003000 2982
0.003000 2982
0.003000 2982
0.003000 2982
0.003000 2982
0.003000 2982
0.003000 2982
0.003000 2982
0.003000 2982
0.003000 2982
0.003000 2918
0.003000 2918
0.003000 2918
0.003000 2918
0.003000 2918
0.003000 2918
0.003000 2918
0.003000 2918
0.003000 2918
0.003000 2918
0.003000 2918
0.003000 2918
0.003000 2918
0.003000 2885
0.003000 2885
0.003000 2885
0.003000 2885
0.003000 2885
0.003000 2885
0.003000 2885
0.003000 2885
0.003000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.004000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.005000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.006000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2885
0.007000 2884
0.007000 2884
0.007000 2884
0.007000 2884
0.007000 2884
0.007000 2884
0.008000 2884
