# Instance: eil101.tsp
# Method: hill-climbing
# Neighborhood: swap
# output: step cost
0 3423
0.001000 3255
0.002000 3091
0.003000 2956
0.004000 2821
0.005000 2712
0.007000 2609
0.008000 2514
0.009000 2427
0.010000 2353
0.011000 2287
0.012000 2225
0.013000 2163
0.014000 2104
0.015000 2008
0.017000 1945
0.018000 1892
0.019000 1843
0.020000 1803
0.021000 1765
0.022000 1729
0.023000 1695
0.024000 1662
0.025000 1630
0.027000 1599
0.028000 1576
0.029000 1555
0.030000 1538
0.031000 1521
0.032000 1505
0.033000 1489
0.034000 1473
0.035000 1452
0.036000 1426
0.037000 1393
0.039000 1375
0.040000 1360
0.041000 1338
0.042000 1324
0.043000 1310
0.044000 1299
0.045000 1288
0.046000 1278
0.047000 1267
0.048000 1252
0.049000 1240
0.050000 1229
0.052000 1215
0.053000 1204
0.054000 1196
0.055000 1188
0.056000 1181
0.057000 1174
0.058000 1165
0.059000 1158
0.061000 1152
0.062000 1145
0.063000 1134
0.064000 1125
0.065000 1117
0.067000 1110
0.068000 1104
0.070000 1098
0.071000 1093
0.072000 1087
0.074000 1082
0.075000 1078
0.077000 1074
0.078000 1071
0.079000 1067
0.080000 1063
0.081000 1060
0.082000 1055
0.084000 1051
0.085000 1047
0.087000 1011
0.088000 1006
0.089000 1003
0.090000 994
0.092000 988
0.093000 985
0.094000 981
0.095000 978
0.096000 976
0.097000 974
0.099000 969
0.100000 963
0.101000 961
0.102000 959
0.103000 957
0.104000 954
0.105000 951
0.106000 950
0.108000 949
0.109000 948
0.110000 947
0.111000 941
0.112000 940
0.113000 936
0.114000 931
0.115000 926
0.116000 913
0.117000 912
0.119000 911
0.120000 909
0.121000 906
0.122000 902
0.123000 901
# Final Best Cost: 901
