# first_value: 3546
# Instance: eil101.tsp
# Method: random-search
# output: time cost
0 3546
1 0.000000 3436
2 0.000000 3382
3 0.000000 3382
4 0.000000 3382
5 0.000000 3382
6 0.000000 3382
7 0.000000 3358
8 0.000000 3347
9 0.000000 3342
10 0.000000 3342
11 0.000000 3342
12 0.000000 3342
13 0.000000 3316
14 0.000000 3316
15 0.000000 3316
16 0.000000 3316
17 0.000000 3316
18 0.000000 3267
19 0.000000 3267
20 0.000000 3267
21 0.000000 3267
22 0.000000 3267
23 0.000000 3267
24 0.000000 3265
25 0.000000 3265
26 0.000000 3265
27 0.000000 3265
28 0.000000 3265
29 0.000000 3265
30 0.000000 3265
31 0.000000 3265
32 0.000000 3265
33 0.000000 3265
34 0.000000 3265
35 0.000000 3265
36 0.000000 3265
37 0.000000 3265
38 0.000000 3265
39 0.000000 3265
40 0.000000 3265
41 0.000000 3265
42 0.000000 3265
43 0.000000 3173
44 0.000000 3173
45 0.000000 3173
46 0.000000 3173
47 0.000000 3173
48 0.000000 3173
49 0.000000 3173
50 0.000000 3173
51 0.000000 3173
52 0.000000 3173
53 0.000000 3173
54 0.000000 3173
55 0.000000 3173
56 0.000000 3173
57 0.000000 3173
58 0.000000 3173
59 0.000000 3173
60 0.000000 3173
61 0.000000 3173
62 0.000000 3173
63 0.000000 3173
64 0.000000 3173
65 0.000000 3173
66 0.000000 3173
67 0.000000 3173
68 0.000000 3173
69 0.000000 3173
70 0.000000 3173
71 0.000000 3173
72 0.000000 3173
73 0.000000 3173
74 0.000000 3173
75 0.000000 3173
76 0.000000 3173
77 0.000000 3173
78 0.000000 3173
79 0.000000 3173
80 0.000000 3173
81 0.000000 3173
82 0.000000 3173
83 0.000000 3173
84 0.000000 3173
85 0.000000 3173
86 0.000000 3173
87 0.000000 3173
88 0.000000 3173
89 0.000000 3173
90 0.000000 3173
91 0.000000 3173
92 0.000000 3173
93 0.000000 3173
94 0.000000 3173
95 0.000000 3173
96 0.000000 3173
97 0.000000 3173
98 0.000000 3173
99 0.000000 3173
100 0.000000 3173
101 0.000000 3173
102 0.000000 3173
103 0.000000 3173
104 0.000000 3173
105 0.000000 3173
106 0.000000 3173
107 0.000000 3173
108 0.000000 3173
109 0.000000 3173
110 0.000000 3173
111 0.000000 3173
112 0.000000 3173
113 0.000000 3173
114 0.000000 3173
115 0.000000 3173
116 0.000000 3173
117 0.000000 3173
118 0.000000 3173
119 0.000000 3173
120 0.000000 3173
121 0.000000 3173
122 0.000000 3173
123 0.000000 3173
124 0.000000 3173
125 0.000000 3173
126 0.000000 3173
127 0.000000 3012
128 0.000000 3012
129 0.000000 3012
130 0.000000 3012
131 0.000000 3012
132 0.000000 3012
133 0.000000 3012
134 0.000000 3012
135 0.000000 3012
136 0.000000 3012
137 0.000000 3012
138 0.000000 3012
139 0.000000 3012
140 0.000000 3012
141 0.000000 3012
142 0.000000 3012
143 0.000000 3012
144 0.000000 3012
145 0.000000 3012
146 0.000000 3012
147 0.000000 3012
148 0.000000 3012
149 0.000000 3012
150 0.000000 3012
151 0.000000 3012
152 0.000000 3012
153 0.000000 3012
154 0.000000 3012
155 0.000000 3012
156 0.000000 3012
157 0.000000 3012
158 0.000000 3012
159 0.000000 3012
160 0.000000 3012
161 0.000000 3012
162 0.000000 3012
163 0.000000 3012
164 0.000000 3012
165 0.000000 3012
166 0.000000 3012
167 0.000000 3012
168 0.000000 3012
169 0.000000 3012
170 0.000000 3012
171 0.000000 3012
172 0.000000 3012
173 0.000000 3012
174 0.000000 3012
175 0.000000 3012
176 0.000000 3012
177 0.000000 3012
178 0.000000 3012
179 0.000000 3012
180 0.000000 3012
181 0.000000 3012
182 0.000000 3012
183 0.000000 3012
184 0.000000 3012
185 0.000000 3012
186 0.000000 3012
187 0.000000 3012
188 0.000000 3012
189 0.000000 3012
190 0.000000 3012
191 0.000000 3012
192 0.000000 3012
193 0.000000 3012
194 0.000000 3012
195 0.000000 3012
196 0.000000 3012
197 0.000000 3012
198 0.000000 3012
199 0.000000 3012
200 0.000000 3012
201 0.000000 3012
202 0.000000 3012
203 0.000000 3012
204 0.000000 3012
205 0.000000 3012
206 0.000000 3012
207 0.000000 2937
208 0.000000 2937
209 0.000000 2937
210 0.000000 2937
211 0.000000 2937
212 0.000000 2937
213 0.000000 2937
214 0.000000 2937
215 0.000000 2937
216 0.000000 2937
217 0.000000 2937
218 0.000000 2937
219 0.000000 2937
220 0.000000 2937
221 0.000000 2937
222 0.000000 2937
223 0.000000 2937
224 0.000000 2937
225 0.000000 2937
226 0.000000 2937
227 0.000000 2937
228 0.000000 2937
229 0.000000 2937
230 0.000000 2937
231 0.000000 2937
232 0.000000 2937
233 0.000000 2937
