# Instance: eil101.tsp
# Method: hill-climbing
# Neighborhood: 2-opt
# output: step cost
0 3654
0.001000 3545
0.003000 3447
0.004000 3350
0.006000 3240
0.007000 3153
0.009000 3063
0.010000 2980
0.012000 2898
0.013000 2822
0.015000 2743
0.016000 2667
0.017000 2592
0.019000 2519
0.020000 2451
0.022000 2377
0.023000 2310
0.025000 2244
0.026000 2177
0.028000 2111
0.029000 2048
0.031000 1986
0.032000 1929
0.033000 1876
0.035000 1823
0.036000 1771
0.038000 1720
0.039000 1674
0.041000 1610
0.042000 1565
0.044000 1524
0.045000 1483
0.046000 1443
0.048000 1400
0.049000 1360
0.051000 1331
0.052000 1301
0.054000 1272
0.055000 1243
0.057000 1213
0.058000 1174
0.059000 1150
0.061000 1128
0.062000 1107
0.064000 1088
0.065000 1071
0.067000 1054
0.068000 1039
0.070000 1016
0.071000 999
0.073000 985
0.074000 965
0.075000 947
0.077000 933
0.078000 918
0.080000 905
0.081000 892
0.083000 878
0.084000 865
0.085000 853
0.087000 840
0.088000 829
0.090000 818
0.091000 808
0.093000 799
0.094000 791
0.096000 783
0.097000 776
0.099000 771
0.100000 762
0.102000 757
0.104000 752
0.105000 745
0.107000 740
0.108000 733
0.110000 728
0.111000 724
0.113000 720
0.114000 716
0.116000 713
0.117000 710
0.119000 707
0.120000 704
0.122000 701
0.123000 691
0.125000 689
0.126000 687
0.128000 684
# Final Best Cost: 684
