# first_value: 1568
# Instance: eil51.tsp
# Method: random-search
# output: time cost
0 1568
0.000000 1568
0.000000 1568
0.000000 1568
0.000000 1568
0.000000 1568
0.000000 1568
0.000000 1568
0.000000 1568
0.000000 1568
0.000000 1568
0.000000 1568
0.000000 1564
0.000000 1564
0.000000 1564
0.000000 1564
0.000000 1564
0.000000 1564
0.000000 1564
0.000000 1564
0.000000 1564
0.000000 1564
0.000000 1564
0.000000 1564
0.000000 1564
0.000000 1564
0.000000 1533
0.000000 1533
0.000000 1533
0.000000 1533
0.000000 1533
0.000000 1533
0.000000 1533
0.000000 1533
0.000000 1533
0.000000 1533
0.000000 1533
0.000000 1533
0.000000 1533
0.000000 1524
0.000000 1524
0.000000 1524
0.000000 1524
0.000000 1524
0.000000 1524
0.000000 1524
0.000000 1524
0.000000 1524
0.000000 1524
0.000000 1524
0.000000 1510
0.000000 1510
0.000000 1510
0.000000 1510
0.000000 1510
0.000000 1510
0.000000 1510
0.000000 1510
0.000000 1510
0.000000 1510
0.000000 1510
0.000000 1510
0.000000 1510
0.000000 1510
0.000000 1510
0.000000 1510
0.000000 1492
0.000000 1492
0.000000 1492
0.000000 1492
0.000000 1492
0.000000 1492
0.000000 1492
0.000000 1492
0.000000 1492
0.000000 1492
0.000000 1492
0.000000 1492
0.000000 1492
0.000000 1492
0.000000 1492
0.000000 1492
0.000000 1492
0.000000 1492
0.000000 1492
0.000000 1492
0.000000 1458
0.000000 1458
0.000000 1458
0.000000 1458
0.000000 1458
0.000000 1458
0.000000 1458
0.000000 1458
0.000000 1458
0.000000 1458
0.000000 1458
0.000000 1458
0.000000 1458
0.000000 1458
0.000000 1458
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1439
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1430
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1410
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
0.000000 1367
