# first_value: 1596
# Instance: eil51.tsp
# Method: random-search
# output: time cost
0 1596
0.000000 1596
0.000000 1596
0.000000 1596
0.000000 1596
0.000000 1596
0.000000 1498
0.000000 1498
0.000000 1498
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1428
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
0.000000 1422
