# first_value: 1708
# Instance: eil51.tsp
# Method: random-search
# output: time cost
0 1708
0.000000 1560
0.000000 1560
0.000000 1560
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1538
0.000000 1525
0.000000 1525
0.000000 1525
0.000000 1525
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1500
0.000000 1496
0.000000 1496
0.000000 1496
0.000000 1496
0.000000 1496
0.000000 1496
0.000000 1496
0.000000 1496
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1469
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1455
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1396
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1378
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
0.000000 1341
