# first_value: 1822
# Instance: eil51.tsp
# Method: random-search
# output: time cost
0 1822
1 0.000000 1822
2 0.000000 1809
3 0.000000 1579
4 0.000000 1500
5 0.000000 1500
6 0.000000 1500
7 0.000000 1500
8 0.000000 1500
9 0.000000 1500
10 0.000000 1500
11 0.000000 1500
12 0.000000 1500
13 0.000000 1500
14 0.000000 1500
15 0.000000 1441
16 0.000000 1441
17 0.000000 1441
18 0.000000 1441
19 0.000000 1441
20 0.000000 1441
21 0.000000 1441
22 0.000000 1441
23 0.000000 1441
24 0.000000 1441
25 0.000000 1441
26 0.000000 1441
27 0.000000 1441
28 0.000000 1441
29 0.000000 1441
30 0.000000 1441
31 0.000000 1441
32 0.000000 1441
33 0.000000 1441
34 0.000000 1441
35 0.000000 1441
36 0.000000 1441
37 0.000000 1441
38 0.000000 1441
39 0.000000 1441
40 0.000000 1441
41 0.000000 1441
42 0.000000 1441
43 0.000000 1441
44 0.000000 1441
45 0.000000 1441
46 0.000000 1441
47 0.000000 1441
48 0.000000 1441
49 0.000000 1441
50 0.000000 1441
51 0.000000 1441
52 0.000000 1441
53 0.000000 1441
54 0.000000 1441
55 0.000000 1441
56 0.000000 1441
57 0.000000 1441
58 0.000000 1441
59 0.000000 1441
60 0.000000 1395
61 0.000000 1395
62 0.000000 1395
63 0.000000 1395
64 0.000000 1395
65 0.000000 1395
66 0.000000 1395
67 0.000000 1395
68 0.000000 1395
69 0.000000 1395
70 0.000000 1395
71 0.000000 1395
72 0.000000 1395
73 0.000000 1395
74 0.000000 1395
75 0.000000 1395
76 0.000000 1395
77 0.000000 1395
78 0.000000 1395
79 0.000000 1395
80 0.000000 1395
81 0.000000 1395
82 0.000000 1395
83 0.000000 1395
84 0.000000 1395
85 0.000000 1395
86 0.000000 1395
87 0.000000 1395
88 0.000000 1395
89 0.000000 1395
90 0.000000 1395
91 0.000000 1395
92 0.000000 1395
93 0.000000 1395
94 0.000000 1395
95 0.000000 1395
96 0.000000 1395
97 0.000000 1395
98 0.000000 1395
99 0.000000 1395
100 0.000000 1395
101 0.000000 1395
102 0.000000 1395
103 0.000000 1395
104 0.000000 1395
105 0.000000 1395
106 0.000000 1395
107 0.000000 1395
108 0.000000 1395
109 0.000000 1395
110 0.000000 1395
111 0.000000 1395
112 0.000000 1395
113 0.000000 1395
114 0.000000 1395
115 0.000000 1395
116 0.000000 1395
117 0.000000 1395
118 0.000000 1395
119 0.000000 1395
120 0.000000 1395
121 0.000000 1395
122 0.000000 1395
123 0.000000 1395
124 0.000000 1395
125 0.000000 1395
126 0.000000 1395
127 0.000000 1395
128 0.000000 1395
129 0.000000 1395
130 0.000000 1395
131 0.000000 1395
132 0.000000 1395
133 0.000000 1395
134 0.000000 1395
135 0.000000 1395
136 0.000000 1395
137 0.000000 1395
138 0.000000 1395
139 0.000000 1395
140 0.000000 1395
141 0.000000 1395
142 0.000000 1395
143 0.000000 1395
144 0.000000 1395
145 0.000000 1395
146 0.000000 1395
147 0.000000 1395
148 0.000000 1395
149 0.000000 1395
150 0.000000 1395
151 0.000000 1395
152 0.000000 1395
153 0.000000 1395
154 0.000000 1395
155 0.000000 1395
156 0.000000 1395
157 0.000000 1395
158 0.000000 1395
159 0.000000 1395
160 0.000000 1395
161 0.000000 1395
162 0.000000 1395
163 0.000000 1395
164 0.000000 1395
165 0.000000 1395
166 0.000000 1395
167 0.000000 1395
168 0.000000 1395
169 0.000000 1395
170 0.000000 1395
171 0.000000 1395
172 0.000000 1395
173 0.000000 1395
174 0.000000 1395
175 0.000000 1395
176 0.000000 1395
177 0.000000 1395
178 0.000000 1395
179 0.000000 1395
180 0.000000 1395
181 0.000000 1395
182 0.000000 1395
183 0.000000 1395
184 0.000000 1395
185 0.000000 1395
186 0.000000 1395
187 0.000000 1395
188 0.000000 1395
189 0.000000 1395
190 0.000000 1395
191 0.000000 1395
192 0.000000 1395
193 0.000000 1395
194 0.000000 1395
195 0.000000 1395
196 0.000000 1395
197 0.000000 1395
198 0.000000 1395
199 0.000000 1395
200 0.000000 1395
201 0.000000 1395
202 0.000000 1395
203 0.000000 1395
204 0.000000 1395
205 0.000000 1395
206 0.000000 1395
207 0.000000 1395
208 0.000000 1395
209 0.000000 1395
210 0.000000 1395
211 0.000000 1395
212 0.000000 1395
213 0.000000 1395
214 0.000000 1395
215 0.000000 1395
216 0.000000 1395
217 0.000000 1395
218 0.000000 1395
219 0.000000 1395
220 0.000000 1395
221 0.000000 1395
222 0.000000 1395
223 0.000000 1395
224 0.000000 1395
225 0.000000 1395
226 0.000000 1395
227 0.000000 1395
228 0.000000 1395
229 0.000000 1395
230 0.000000 1395
231 0.000000 1395
232 0.000000 1395
233 0.000000 1395
234 0.000000 1395
235 0.000000 1395
236 0.000000 1395
237 0.000000 1395
238 0.000000 1395
239 0.000000 1395
240 0.000000 1395
241 0.000000 1395
242 0.000000 1395
243 0.000000 1395
244 0.000000 1395
245 0.000000 1395
246 0.000000 1395
247 0.000000 1395
248 0.000000 1395
249 0.000000 1395
250 0.000000 1395
251 0.000000 1395
252 0.000000 1395
253 0.000000 1395
254 0.000000 1395
255 0.000000 1395
256 0.000000 1395
257 0.000000 1395
258 0.000000 1395
259 0.000000 1395
260 0.000000 1395
261 0.000000 1395
262 0.000000 1395
263 0.000000 1395
264 0.000000 1395
265 0.000000 1395
266 0.000000 1395
267 0.000000 1395
268 0.000000 1395
269 0.000000 1395
270 0.000000 1395
271 0.000000 1395
272 0.000000 1395
273 0.000000 1395
274 0.000000 1395
275 0.000000 1395
276 0.000000 1395
277 0.000000 1395
278 0.000000 1395
279 0.000000 1395
280 0.000000 1395
281 0.000000 1395
282 0.000000 1395
283 0.000000 1395
284 0.000000 1395
285 0.000000 1395
286 0.000000 1395
287 0.000000 1395
288 0.000000 1395
289 0.000000 1395
290 0.000000 1395
291 0.000000 1395
292 0.000000 1395
293 0.000000 1395
294 0.000000 1395
295 0.000000 1395
296 0.000000 1395
297 0.000000 1395
298 0.000000 1395
299 0.000000 1395
300 0.000000 1395
301 0.000000 1395
302 0.000000 1395
303 0.000000 1395
304 0.000000 1395
305 0.000000 1395
306 0.000000 1395
307 0.000000 1395
308 0.000000 1395
309 0.000000 1395
310 0.000000 1395
311 0.000000 1395
312 0.000000 1395
313 0.000000 1395
314 0.000000 1395
315 0.000000 1395
316 0.000000 1395
317 0.000000 1395
318 0.000000 1395
319 0.000000 1395
320 0.000000 1395
321 0.000000 1395
322 0.000000 1395
323 0.000000 1395
324 0.000000 1395
325 0.000000 1395
326 0.000000 1395
327 0.000000 1395
328 0.000000 1395
329 0.000000 1395
330 0.000000 1395
331 0.000000 1395
332 0.000000 1395
333 0.000000 1395
334 0.000000 1395
335 0.000000 1395
336 0.000000 1395
337 0.000000 1395
338 0.000000 1395
339 0.000000 1395
340 0.000000 1395
341 0.000000 1395
342 0.000000 1395
343 0.000000 1395
344 0.000000 1395
345 0.000000 1395
346 0.000000 1395
347 0.000000 1395
348 0.000000 1395
349 0.000000 1395
350 0.000000 1395
351 0.000000 1395
352 0.000000 1395
353 0.000000 1395
354 0.000000 1395
355 0.000000 1395
356 0.000000 1395
357 0.000000 1395
358 0.000000 1395
359 0.000000 1395
360 0.000000 1395
361 0.000000 1395
362 0.000000 1395
363 0.000000 1395
364 0.000000 1395
365 0.000000 1395
366 0.000000 1395
367 0.000000 1395
368 0.000000 1395
369 0.000000 1395
370 0.000000 1395
371 0.000000 1395
372 0.000000 1395
373 0.000000 1395
374 0.000000 1395
375 0.000000 1395
376 0.000000 1395
377 0.000000 1395
378 0.000000 1395
379 0.000000 1395
380 0.000000 1395
381 0.000000 1395
382 0.000000 1395
383 0.000000 1395
384 0.000000 1395
385 0.000000 1395
386 0.000000 1395
387 0.000000 1395
388 0.000000 1395
389 0.000000 1395
390 0.000000 1395
391 0.000000 1395
392 0.000000 1395
393 0.000000 1395
394 0.000000 1395
395 0.000000 1395
396 0.000000 1395
397 0.000000 1395
398 0.000000 1395
399 0.000000 1395
400 0.000000 1395
401 0.000000 1395
402 0.000000 1395
403 0.000000 1395
404 0.000000 1395
405 0.000000 1395
406 0.000000 1395
407 0.000000 1395
408 0.000000 1395
409 0.000000 1395
410 0.000000 1395
411 0.000000 1395
412 0.000000 1395
413 0.000000 1395
414 0.000000 1395
415 0.000000 1395
416 0.000000 1395
417 0.000000 1395
418 0.000000 1395
419 0.000000 1395
420 0.000000 1395
421 0.000000 1395
422 0.000000 1395
423 0.000000 1395
424 0.000000 1395
425 0.000000 1395
426 0.000000 1395
427 0.000000 1395
428 0.000000 1395
429 0.000000 1395
430 0.000000 1395
431 0.000000 1395
432 0.000000 1395
433 0.000000 1395
434 0.000000 1395
435 0.000000 1395
436 0.000000 1395
437 0.000000 1395
438 0.000000 1395
439 0.000000 1395
440 0.000000 1395
441 0.000000 1395
442 0.000000 1395
443 0.000000 1395
444 0.000000 1395
445 0.000000 1395
446 0.000000 1395
447 0.000000 1395
448 0.000000 1395
449 0.000000 1395
450 0.000000 1395
451 0.000000 1395
452 0.000000 1395
453 0.000000 1395
454 0.000000 1395
455 0.000000 1395
456 0.000000 1395
457 0.000000 1395
458 0.000000 1395
459 0.000000 1395
460 0.000000 1395
461 0.000000 1395
462 0.000000 1395
463 0.000000 1395
464 0.000000 1395
465 0.000000 1395
466 0.000000 1395
467 0.000000 1395
468 0.000000 1395
469 0.000000 1395
470 0.000000 1395
471 0.000000 1395
472 0.000000 1395
473 0.000000 1395
474 0.000000 1395
475 0.000000 1395
476 0.000000 1395
477 0.000000 1395
478 0.000000 1395
479 0.000000 1395
480 0.000000 1395
481 0.000000 1395
482 0.000000 1395
483 0.000000 1395
484 0.000000 1395
485 0.000000 1395
486 0.000000 1395
487 0.000000 1395
488 0.000000 1395
489 0.000000 1395
490 0.000000 1395
491 0.000000 1395
492 0.000000 1395
493 0.000000 1395
494 0.000000 1395
495 0.000000 1395
496 0.000000 1395
497 0.000000 1395
498 0.000000 1395
499 0.000000 1395
500 0.000000 1395
501 0.000000 1395
502 0.000000 1395
503 0.000000 1395
504 0.000000 1395
505 0.000000 1395
506 0.000000 1395
507 0.000000 1395
508 0.000000 1395
509 0.000000 1395
510 0.000000 1395
511 0.000000 1395
512 0.000000 1395
513 0.000000 1395
514 0.000000 1395
515 0.000000 1395
516 0.000000 1395
517 0.000000 1395
518 0.000000 1395
519 0.000000 1395
520 0.000000 1395
521 0.000000 1395
522 0.000000 1395
523 0.000000 1395
524 0.000000 1395
525 0.000000 1395
526 0.000000 1395
527 0.000000 1395
528 0.000000 1395
529 0.000000 1395
530 0.000000 1395
531 0.000000 1395
532 0.000000 1395
533 0.000000 1395
534 0.000000 1395
535 0.000000 1395
536 0.000000 1395
537 0.000000 1395
538 0.000000 1395
539 0.000000 1395
540 0.000000 1395
541 0.000000 1395
542 0.000000 1395
543 0.000000 1395
544 0.000000 1395
545 0.000000 1395
546 0.000000 1395
547 0.000000 1395
548 0.000000 1395
549 0.000000 1395
550 0.000000 1395
551 0.000000 1395
552 0.000000 1395
553 0.000000 1395
554 0.000000 1395
555 0.000000 1395
556 0.000000 1395
557 0.000000 1395
558 0.000000 1395
559 0.000000 1395
560 0.000000 1395
561 0.000000 1395
562 0.000000 1395
563 0.000000 1395
564 0.000000 1395
565 0.000000 1395
566 0.000000 1395
567 0.000000 1395
568 0.000000 1395
569 0.000000 1395
570 0.000000 1395
571 0.000000 1395
572 0.000000 1395
573 0.000000 1395
574 0.000000 1395
575 0.000000 1395
576 0.000000 1395
577 0.000000 1395
578 0.000000 1395
579 0.000000 1395
580 0.000000 1395
581 0.000000 1395
582 0.000000 1395
583 0.000000 1395
584 0.000000 1395
585 0.000000 1395
586 0.000000 1395
587 0.000000 1395
588 0.000000 1395
589 0.000000 1395
590 0.000000 1395
591 0.000000 1395
592 0.000000 1395
593 0.000000 1395
594 0.000000 1395
595 0.000000 1395
596 0.000000 1395
597 0.000000 1395
598 0.000000 1395
599 0.000000 1395
600 0.000000 1395
601 0.000000 1395
602 0.000000 1395
603 0.000000 1395
604 0.000000 1395
605 0.000000 1395
606 0.000000 1395
607 0.000000 1395
608 0.000000 1395
609 0.000000 1395
610 0.000000 1395
611 0.000000 1395
612 0.000000 1395
613 0.000000 1395
614 0.000000 1395
615 0.000000 1395
616 0.000000 1395
617 0.000000 1395
618 0.000000 1395
619 0.000000 1395
620 0.000000 1395
621 0.000000 1395
622 0.000000 1395
623 0.000000 1395
624 0.000000 1395
625 0.000000 1395
626 0.000000 1395
627 0.000000 1395
628 0.000000 1395
629 0.000000 1395
630 0.000000 1395
631 0.000000 1395
632 0.000000 1395
633 0.000000 1395
634 0.000000 1395
635 0.000000 1395
636 0.000000 1395
637 0.000000 1395
638 0.000000 1395
639 0.000000 1395
640 0.000000 1395
641 0.000000 1395
642 0.000000 1395
643 0.000000 1395
644 0.000000 1395
645 0.000000 1395
646 0.000000 1395
647 0.000000 1395
648 0.000000 1395
649 0.000000 1395
650 0.000000 1395
651 0.000000 1395
652 0.000000 1395
653 0.000000 1395
654 0.000000 1395
655 0.000000 1395
656 0.000000 1395
657 0.000000 1395
658 0.000000 1395
659 0.000000 1395
660 0.001000 1395
661 0.001000 1395
662 0.001000 1395
663 0.001000 1395
664 0.001000 1395
665 0.001000 1395
666 0.001000 1395
667 0.001000 1395
668 0.001000 1395
669 0.001000 1395
670 0.001000 1395
671 0.001000 1395
672 0.001000 1395
673 0.001000 1395
674 0.001000 1395
675 0.001000 1395
676 0.001000 1395
677 0.001000 1395
678 0.001000 1395
679 0.001000 1395
680 0.001000 1395
681 0.001000 1395
682 0.001000 1395
683 0.001000 1395
684 0.001000 1395
685 0.001000 1395
686 0.001000 1395
687 0.001000 1395
688 0.001000 1395
689 0.001000 1395
690 0.001000 1395
691 0.001000 1395
692 0.001000 1395
693 0.001000 1395
694 0.001000 1395
695 0.001000 1395
696 0.001000 1395
697 0.001000 1395
698 0.001000 1395
699 0.001000 1395
700 0.001000 1395
701 0.001000 1395
702 0.001000 1395
703 0.001000 1395
704 0.001000 1395
705 0.001000 1395
706 0.001000 1395
707 0.001000 1395
708 0.001000 1395
709 0.001000 1395
710 0.001000 1395
711 0.001000 1395
712 0.001000 1395
713 0.001000 1395
714 0.001000 1395
715 0.001000 1395
716 0.001000 1395
717 0.001000 1395
718 0.001000 1395
719 0.001000 1395
720 0.001000 1395
721 0.001000 1395
722 0.001000 1395
723 0.001000 1395
724 0.001000 1395
725 0.001000 1395
726 0.001000 1395
727 0.001000 1395
728 0.001000 1395
729 0.001000 1395
730 0.001000 1395
731 0.001000 1395
732 0.001000 1395
733 0.001000 1395
734 0.001000 1395
735 0.001000 1395
736 0.001000 1395
737 0.001000 1395
738 0.001000 1395
739 0.001000 1395
740 0.001000 1395
741 0.001000 1395
742 0.001000 1395
743 0.001000 1395
744 0.001000 1395
745 0.001000 1395
746 0.001000 1395
747 0.001000 1395
748 0.001000 1395
749 0.001000 1395
750 0.001000 1395
751 0.001000 1395
752 0.001000 1395
753 0.001000 1395
754 0.001000 1395
755 0.001000 1395
756 0.001000 1395
757 0.001000 1395
758 0.001000 1395
759 0.001000 1395
760 0.001000 1395
761 0.001000 1395
762 0.001000 1395
763 0.001000 1395
764 0.001000 1395
765 0.001000 1395
766 0.001000 1395
767 0.001000 1395
768 0.001000 1395
769 0.001000 1395
770 0.001000 1395
771 0.001000 1395
772 0.001000 1395
773 0.001000 1395
774 0.001000 1395
775 0.001000 1395
776 0.001000 1395
777 0.001000 1395
778 0.001000 1395
779 0.001000 1395
780 0.001000 1395
781 0.001000 1395
782 0.001000 1395
783 0.001000 1395
784 0.001000 1395
785 0.001000 1395
786 0.001000 1395
787 0.001000 1395
788 0.001000 1395
789 0.001000 1395
790 0.001000 1395
