# Instance: eil51.tsp
# Method: hill-climbing
# Neighborhood: swap
# output: step cost
0 1846
0.000000 1648
0.000000 1512
0.000000 1421
0.001000 1333
0.001000 1254
0.001000 1176
0.001000 1113
0.001000 1058
0.002000 1011
0.002000 966
0.002000 932
0.002000 906
0.002000 883
0.002000 862
0.002000 844
0.003000 827
0.003000 799
0.003000 783
0.003000 772
0.003000 763
0.003000 754
0.003000 746
0.004000 738
0.004000 730
0.004000 723
0.004000 716
0.004000 708
0.004000 702
0.004000 696
0.005000 691
0.005000 686
0.005000 682
0.005000 676
0.005000 671
0.005000 668
0.005000 662
0.006000 659
0.006000 653
0.006000 650
0.006000 647
0.006000 643
0.006000 627
0.006000 625
0.007000 619
0.007000 614
0.007000 611
0.007000 606
0.007000 605
0.007000 604
0.007000 601
0.008000 600
0.008000 599
# Final Best Cost: 599
