# Instance: eil51.tsp
# Method: hill-climbing
# Neighborhood: 2-opt
# output: step cost
0 1510
0.000000 1417
0.000000 1340
0.000000 1255
0.001000 1180
0.001000 1110
0.001000 1048
0.001000 999
0.002000 951
0.002000 903
0.002000 865
0.002000 830
0.002000 786
0.003000 752
0.003000 726
0.003000 699
0.003000 667
0.003000 641
0.004000 622
0.004000 602
0.004000 586
0.004000 571
0.004000 557
0.005000 542
0.005000 526
0.005000 515
0.005000 505
0.005000 496
0.006000 489
0.006000 483
0.006000 479
0.006000 476
0.006000 474
0.006000 473
0.007000 468
0.007000 460
# Final Best Cost: 460
