# Instance: eil51.tsp
# Method: hill-climbing
# Neighborhood: 2-opt
# output: step cost
0 1846
0.000000 1718
0.000000 1631
0.000000 1553
0.001000 1483
0.001000 1413
0.001000 1357
0.001000 1300
0.001000 1243
0.002000 1187
0.002000 1135
0.002000 1085
0.002000 1035
0.002000 989
0.003000 945
0.003000 910
0.003000 877
0.003000 846
0.004000 810
0.004000 782
0.004000 750
0.004000 722
0.004000 695
0.005000 669
0.005000 647
0.005000 627
0.005000 609
0.005000 593
0.006000 574
0.006000 560
0.006000 548
0.006000 536
0.006000 517
0.007000 507
0.007000 498
0.007000 491
0.007000 485
0.007000 479
0.008000 473
0.008000 472
# Final Best Cost: 472
