# Instance: eil51.tsp
# Method: hill-climbing
# Neighborhood: swap
# output: step cost
0 1432
0.000000 1302
0.000000 1223
0.000000 1152
0.000000 1086
0.000000 1028
0.001000 985
0.001000 945
0.001000 905
0.001000 868
0.001000 839
0.001000 816
0.001000 796
0.001000 777
0.001000 758
0.001000 745
0.001000 733
0.001000 717
0.001000 706
0.001000 697
0.002000 688
0.002000 678
0.002000 671
0.002000 665
0.002000 659
0.002000 653
0.002000 640
0.003000 636
0.003000 623
0.003000 614
0.003000 610
0.003000 606
0.003000 592
0.003000 589
0.004000 579
0.004000 577
0.004000 575
0.004000 572
0.004000 570
0.004000 569
0.004000 568
# Final Best Cost: 568
