# Instance: eil51.tsp
# Method: hill-climbing
# Neighborhood: 2-opt
# output: step cost
0 1662
0.000000 1575
0.000000 1492
0.000000 1415
0.000000 1345
0.001000 1276
0.001000 1207
0.001000 1144
0.001000 1088
0.001000 1036
0.002000 994
0.002000 953
0.002000 914
0.002000 879
0.002000 844
0.003000 811
0.003000 777
0.003000 749
0.003000 722
0.003000 696
0.003000 671
0.004000 654
0.004000 638
0.004000 623
0.004000 608
0.004000 594
0.005000 580
0.005000 561
0.005000 545
0.005000 535
0.005000 525
0.006000 516
0.006000 507
0.006000 499
0.006000 493
0.006000 488
0.006000 478
0.007000 474
0.007000 470
0.007000 467
0.007000 466
0.007000 463
0.008000 460
# Final Best Cost: 460
